language,reference_word,translated_word
EN,home,Home
FR,home,Accueil
EN,patient_level_data,Patient-level data
FR,patient_level_data,Données individuelles
EN,aggregated_data,Aggregated data
FR,aggregated_data,Données agrégées
EN,settings,Settings
FR,settings,Paramètres
EN,help,Help
FR,help,Aide
EN,datamart,Datamart
FR,datamart,Datamart
EN,datamarts,Datamarts
FR,datamarts,Datamarts
EN,study,Study
FR,study,Etude
EN,general_settings,General settings
FR,general_settings,Paramètres généraux
EN,data_management,Data management
FR,data_management,Gestion des données
EN,data_sources,Data sources
FR,data_sources,Sources de données
EN,language,Language
FR,language,Langue
EN,save,Save
FR,save,Sauvegarder
EN,appearance,Appearance
FR,appearance,Apparence
EN,page_type,Page type
FR,page_type,Type de page
