base,fr
home,Accueil
my_studies,Mes études
my_subsets,Mes subsets
dataset,Set de données
data,Données
load_data,Charger des données
data_model,Modèle de données
tabs,Onglets
whats_a_tab,Qu'est ce qu'un onglet ?
add_tab,Ajouter un onglet
widgets,Widgets
whats_a_widget,Qu'est ce qu'un widget ?
get_started,Mise en place
patient_lvl_or_aggregated_data,Données individuelles ou agrégées
tutorials,Tutoriels
resources,Ressources
dev,Dev
individual,Individuelles
patient_level_data,Données individuelles
patient_lvl_data,Données individuelles
aggregated_data,Données agrégées
aggregated,Agrégées
exclusion_reason,Motif de l'exclusion
no_study_available,Pas d'étude disponible
no_person_in_subset,Aucun patient dans le subset
years,ans
months,mois
age,Age
gender,Sexe
undefined,Non défini
included,Inclus
excluded,Exclus
unit,Unité
hosp_unit,Unité
from,Du
to,Au
general_settings,Paramètres généraux
settings,Paramètres
app_database,BDD de l'application
database,Base de données
database_short,BDD
app_version,Version de l'application
connection,Connexion
session,Session
session_starts,Début de la session
session_ends,Fin de la session
test_connection,Tester la connexion
users,Utilisateurs
data_management,Gestion des données
patient,Patient
patients,Patients
person,Patient
persons,Patients
stay,Séjour
visit_detail,Séjour
patient_status,Statut du patient
r_console,Console R
subset,Subset
study,Etude
run_code,Exécuter
all_items,Tous les items
item,Item
items,Items
category,Catégorie
categories,Catégories
conversions,Conversions
create_items,Créer des items
choose_a_damatart_left_side,Choisissez un set de données dans le menu déroulant à gauche de l'écran
choose_a_study_left_side,Choisissez une étude dans le menu déroulant à gauche de l'écran
choose_study_and_dataset_left_side,Choisissez un set de données et une étude dans le menu déroulant à gauche de l'écran
save,Sauvegarder
reload_cache,Recharger le cache
in_progress,En cours de développement
values,Valeurs
numeric_values,Valeurs numériques
rate,Débit
amount,Quantité
display_name,Nom d'affichage
thesaurus_id,ID de la terminologie
thesaurus_name,Nom de la terminologie
item_id,ID de l'item
concept_id,ID du concept
concept_id_1,ID du concept 1
concept_id_2,ID du concept 2
parent_item_id,ID de l'item parent
parent_concept_id,ID du concept parent
reset,Remettre à zéro
all_plugins,Tous les plugins
create_plugin,Créer un plugin
plugins_management,Gestion des plugins
edit_plugin_code,Editer le code du plugin
plugin_options,Options du plugin
import_plugin,Importer un plugin
export_plugin,Exporter un plugin
export_plugins,Exporter les plugins
export_plugins_github,Exporter sur git distant
import_and_export_plugins,Importer et exporter des plugins
git_remote_plugins,Sur git distant
remote_git_repo,Repository git distant
local_plugins,Plugins locaux
local_plugins_short,Locaux
plugin,Plugin
add,Ajouter
add_widget,Ajouter le widget
group_id,ID du groupe
ui,UI
server,Server
hide_editor,Masquer l'éditeur
grant_access_to,Donner l'accès à
everybody,Tout le monde
everybody_who_has_access_to_dataset,Tout le monde ayant accès au set de données
choose_users,Choisir les utilisateurs
choose_zip_file,Choisir un fichier ZIP
choose_csv_files,Choisir des fichiers CSV
loaded_file,Fichier chargé
loaded_files,Fichiers chargés
plugins_patient_lvl,Plugins - Données individuelles
plugins_aggregated,Plugins - Données agrégées
scripts_management,Gestion des scripts
create_script,Créer un script
edit_script_code,Editer le code du script
script_options,Options du script
thesaurus_items,Concepts de la terminologie
concept,Concept
concepts,Concepts
accesses_opts,Configurer les accès
select_all,Tout sélectionner
unselect_all,Tout déselectionner
add_new_user,Ajouter un utilisateur
users_mngmt,Gestion utilisateurs
add_access,Ajouter un accès
accesses_mngmt,Gestion accès
add_status,Ajouter un statut
add_user,Ajouter un utilisateur
username,Pseudo
firstname,Prénom
lastname,Nom
user_access,Accès utilisateur
user_status,Statut de l'utilisateur
statuses_mngmt,Gestion statuts
name,Nom
create_study,Créer une étude
studies_management,Gestion des études
import_study,Importer une étude
export_study,Exporter une étude
dataset_options,Options du set de données
create_data_source,Créer une source de données
data_sources_management,Gestion des sources de données
items_mapping,Alignement de concepts
concepts_mapping,Alignement de concepts
mapping,Mapping
thesaurus_management,Gestion des terminologies
vocabularies_management,Gestion des terminologies
create_thesaurus,Créer une terminologie
show_only_used_concepts,N'afficher que les concepts utilisés dans ce set de données
create_dataset,Créer un set de données
datasets_management,Gestion des sets de données
messages,Messages
study_options,Options de l'étude
overview,Présentation
news,Actualités
import_excel_file,Importer fichier Excel
import_csv_file,Importer fichier CSV
connect_to_database,Connexion à une base de données
version,Version
versions,Versions
change_password,Changer son mot de passe
new_passwords_are_not_the_same,Nouveaux mdp non identiques
old_password,Ancien mot de passe
new_password,Nouveau mot de passe
invalid_old_password,Ancien mot de passe non valide
password_changed,Mot de passe modifié avec succès
id,ID
description,Description
creator,Créateur
datetime,Date & heure
deleted,Supprimé
modified,Modifié
action,Action
script,Script
dt_previous,Précédente
dt_next,Suivante
dt_search ,Rechercher : 
dt_entries,Afficher _MENU_ lignes
dt_empty,Pas de données disponibles
no_data_available,Pas de données disponibles
deleted_user,Utilisateur supprimé
choose_dataset_scripts,Configurer le set de données
unauthorized_access_page,Accès non autorisé à cette page
change_password_card,Changer le mot de passe
app_db,BDD de l'application
app_db_long,Base de données de l'application
connection_type,Type de connexion
db_connection_infos_card,Informations de connexion
db_datatable_card,Tables de la BDD
db_request_card,Requêter la BDD
db_save_long,Exporter la base de données
db_save_card,Exporter la BDD
db_export_and_restore,Exporter et restaurer la base de données
database_structure,Structure de la base de données
db_restore_long,Restaurer la base de données
db_restore_card,Restaurer la BDD
connection_infos,Informations de connexion
app_db_request,Requêter la BDD
app_db_request_long,Requêter la base de données
request,Requêter
app_db_tables,Tables de la BDD
app_db_tables_long,Tables de la base de données
db_connexion_type,Type de connexion
local,Locale
distant,Distante
remote,Distante
dbname,Nom de la BDD
main_db_name,Nom de la BDD principale
main_db,BDD principale
public_db_name,Nom de la BBD publique
public_db,BDD publique
host,Hôte
port,Port
user,Utilisateur
password,Mot de passe
export_db,Exporter la base de données
db_export_log,Exporter le log
db_import_log,Importer le log
restore_db,Restaurer la base de données
table_name,Nom de la table
row_number,Nombre de lignes
last_db_save,Dernière sauvegarde
current_db,Base de données utilisée
last_db_restore,Dernière restauration
users_delete,Suppression d'utilisateurs
users_delete_subtext,Confirmer la suppression du ou des utilisateur(s) ?
user_deleted,Utilisateur supprimé
users_statuses_delete,Suppression de statuts
users_statuses_delete_subtext,Confirmer la suppression du ou des statut(s) d'utilisateur(s) ?
user_status_deleted,Statut supprimé
users_accesses_delete,Suppression d'accès d'utilisateurs
users_accesses_delete_subtext,Confirmer la suppression de l'accès ou des accès utilisateur(s) ?
user_access_deleted,Accès supprimé
users_delete_data,Supprimer des utilisateurs,des accès ou des statuts
users_creation_card,Créer un utilisateur
users_creation,Créer un utilisateur
users_management_card,Gérer les utilisateurs
users_management,Gestion des utilisateurs
users_accesses,Accès utilisateurs
users_accesses_creation_card,Créer un accès
users_accesses_management_card,Gérer les accès
users_accesses_management,Gérer les accès
users_accesses_options_card,Configurer les accès
users_statuses,Statuts des utilisateurs
users_statuses_creation_card,Créer un statut
users_statuses_management_card,Gérer les statuts
users_statuses_management,Gérer les statuts
r_console_edit_code_card,Accès à la console R
data_sources,Sources de données
data_sources_see_all_data,Accès à toutes les données
data_sources_edit_data,Editer les sources de données
data_sources_delete_data,Supprimer une source de données
data_sources_creation_card,Créer une source de données
data_sources_datatable_card,Gérer les sources de données
datasets,Set de données
datasets_see_all_data,Accès à toutes les données
datasets_edit_data,Editer un set de données
datasets_delete_data,Supprimer un set de données
datasets_creation_card,Créer un set de données
datasets_datatable_card,Gérer les sets de données
datasets_options_card,Editer les options des sets de données
datasets_edit_code_card,Editer le code d'un set de données
studies,Etudes
studies_edit_data,Edit study data
studies_see_all_data,Accès à toutes les données
studies_delete_data,Supprimer une étude
study_messages_card,Accéder aux messages
studies_creation_card,Créer une étude
study_options_card,Gérer les options d'une étude
studies_datatable_card,Gérer les études
import_study_card,Importer une étude
export_study_card,Exporter une étude
subsets,Subsets
subsets_see_all_data,Accès à toutes les données
subsets_edit_data,Editer les subsets
subsets_delete_data,Supprimer un subset
subsets_creation_card,Créer un subset
subsets_datatable_card,Gérer les subsets
subsets_edit_code_card,Editer le code d'un subset
thesaurus,Terminologies
thesaurus_see_all_data,Accès à toutes les données
thesaurus_edit_data,Editer les terminologies
thesaurus_delete_data,Supprimer une terminologie
thesaurus_creation_card,Créer une terminologie
thesaurus_datatable_card,Gérer les terminologies
thesaurus_sub_datatable_card,Gérer les concepts des terminologies
thesaurus_edit_code_card,Editer le code d'une terminologie
plugins,Plugins
all_plugins_card,Accéder au catalogue des plugins
plugins_see_all_data,Accéder à toutes les données
plugins_edit_data,Editer un plugin
plugins_delete_data,Supprimer un plugin
plugins_creation_card,Créer un plugin
plugins_datatable_card,Gérer les plugins
plugins_options_card,Gérer les options d'un plugin
plugins_edit_code_card,Editer le code d'un plugin
import_plugin_card,Importer un plugin
export_plugin_card,Exporter un plugin
scripts,Scripts
dataset_scripts_card,Configurer les scripts d'un dataset
scripts_datatable_card,Gérer les scripts
scripts_see_all_data,Accès à toutes les données
scripts_creation_card,Créer un script
scripts_edit_code_card,Editer le code d'un script
scripts_options_card,Editer les options d'un script
log,Log
all_users,Accès au log de tous les utilisateurs
only_me,Accès uniquement à son log
available_scripts,Scripts disponibles
selected_scripts,Scripts choisis
provide_valid_name,Nom valide requis
provide_valid_study_name,Nom valide requis
provide_valid_subset_name,Nom valide requis
provide_valid_script_name,Nom valide requis
provide_valid_plugin_name,Nom valide requis
provide_valid_username,Pseudo valide requis
provide_valid_firstname,Prénom valide requis
provide_valid_lastname,Nom valide requis
provide_valid_user_access,Sélectionner un accès
provide_valid_user_status,Sélectionner un statut
provide_valid_main_db_name,Nom valide requis
provide_valid_public_db_name,Nom valide requis
provide_valid_description,Description valide requise
provide_valid_data_source,Sélectionner une source de données
provide_valid_user,Nom d'utilisateur valide requis
provide_valid_host,Hôte valide requis
provide_valid_port,Port valide requis (ex : 5432)
provide_valid_password,Mot de passe valide requis
provide_valid_object,Objet valide requis
provide_valid_vocabulary_id,ID valide requis
insert_new_data,Ajout nouvelles données
sql_query,Requête SQL
subset_all_patients,Tous les patients
subset_all_patients_long,Subset comprenant tous les patients
subset_included_patients,Patients inclus
subset_included_patients_long,Subset comprenant seulement les patients inclus
subset_excluded_patients,Patients exclus
subset_excluded_patients_long,Subset comprenant seulement les patients exclus
name_already_used,Ce nom est déjà utilisé
vocabulary_id_already_used,Cet ID est déjà utilisé
username_already_used,Ce pseudo est déjà utilisé
dropdown_empty,Il manque au moins une valeur dans les menus déroulants
data_source_added,Nouvelle source de données ajoutée
dataset_added,Nouveau set de données ajouté
study_added,Nouvelle étude ajoutée
subset_added,Nouveau subset ajouté
script_added,Nouveau script ajouté
thesaurus_added,Nouvelle terminologiee ajoutée
vocabulary_added,Nouvelle terminologiee ajoutée
user_added,Nouvel utilisateur ajouté
user_access_added,Nouvel accès utilisateur ajouté
user_status_added,Nouveau statut d'utilisateur ajouté
delete,Supprimer
dont_delete,Annuler
scripts_delete,Supprimer un script
scripts_delete_subtext,Confirmez-vous la suppression de ce subset ?
import_dataset_success,Set de données chargé avec succès
script_deleted,Script supprimé
modif_saved,Modifications enregistrées
console,Console
table,Table
output,Output
script_description,Description du script
scripts_descriptions_card,Description des scripts
run_scripts_success,Scripts exécutés avec succès
fail_load_dataset,Erreur lors du chargement du set de données
fail_load_vocabulary,Erreur lors du chargement de la terminologie
fail_load_vocabulary_code,Erreur lors du chargement du code de la terminologie
fail_load_scripts,Erreur lors de l'exécution des scripts
invalid_thesaurus_id_value,Valeur de thesaurus_id non valide
invalid_vocabulary_id_value,Valeur de vocabulary_id non valide
invalid_vocabulary_name_value,Valeur de vocabulary_name non valide
invalid_thesaurus_item_name,Valeur de item_name non valide
invalid_thesaurus_item_id,Valeur de item_id non valide
invalid_thesaurus_search_method,Valeur de method non valide
thesaurus_id_not_found,ID de la terminologie non trouvé
invalid_col_names,Noms de colonnes non valides
invalid_col_types,Types de colonnes non valides
error_get_actual_primary_keys,Erreur lors du chargement des clés primaires de la terminologie
type_must_be_integer,doit être de type integer
type_must_be_character,doit être de type character
type_must_be_numeric,doit être de type numeric
type_must_be_datetime,doit être de type datetime
type_must_be_date,doit être de type date
